  Global optimal solution found.
  Objective value:                              60652.71
  Objective bound:                              60652.71
  Infeasibilities:                             0.3885781E-15
  Extended solver steps:                             508
  Total solver iterations:                          3932


                       Variable           Value        Reduced Cost
                          D( 1)        5.980000            0.000000
                          D( 2)        3.790000            0.000000
                          D( 3)        2.530000            0.000000
                          D( 4)        2.530000            0.000000
                          S( 1)        1.107400            0.000000
                          S( 2)        1.282700            0.000000
                          S( 3)        1.914900            0.000000
                          S( 4)        1.099900            0.000000
                          S( 5)        1.363800            0.000000
                          S( 6)       0.7305000            0.000000
                          S( 7)       0.8958000            0.000000
                          S( 8)        1.331900            0.000000
                          S( 9)       0.5216000            0.000000
                         S( 10)       0.4619000            0.000000
                         S( 11)        2.309100            0.000000
                         S( 12)        1.417500            0.000000
                         S( 13)       0.3347000            0.000000
                         S( 14)       0.3347000            0.000000
                         S( 15)       0.5519000            0.000000
                         S( 16)       0.9198000            0.000000
                         S( 17)       0.3645000            0.000000
                         S( 18)        1.778400            0.000000
                         S( 19)       0.5030000            0.000000
                         S( 20)       0.4457000            0.000000
                         S( 21)       0.7888000            0.000000
                         S( 22)        1.066700            0.000000
                         S( 23)        1.822300            0.000000
                         S( 24)        1.538500            0.000000
                         S( 25)        3.576700            0.000000
                         S( 26)       0.4297000            0.000000
                         S( 27)       0.4860000            0.000000
                         S( 28)        1.151400            0.000000
                         S( 29)       0.3842000            0.000000
                         S( 30)       0.8239000            0.000000
                         S( 31)       0.9192000            0.000000
                         S( 32)        1.020400            0.000000
                         S( 33)       0.4308000            0.000000
                         S( 34)       0.7362000            0.000000
                         S( 35)        5.427800            0.000000
                         S( 36)       0.5921000            0.000000
                         S( 37)       0.7689000            0.000000
                         S( 38)       0.5396000            0.000000
                         S( 39)        2.305100            0.000000
                         S( 40)       0.2314000            0.000000
                         S( 41)        4.307900            0.000000
                         S( 42)       0.3408000            0.000000
                         S( 43)        1.895000            0.000000
                         S( 44)        1.006100            0.000000
                         S( 45)        3.370300            0.000000
                         S( 46)        1.523900            0.000000
                         S( 47)        1.127600            0.000000
                         S( 48)        4.521700            0.000000
                         S( 49)       0.6202000            0.000000
                         S( 50)        1.229900            0.000000
                         S( 51)        1.383100            0.000000
                         S( 52)       0.3826000            0.000000
                         S( 53)        2.520200            0.000000
                         S( 54)       0.3065000            0.000000
                         S( 55)        1.505600            0.000000
                         S( 56)       0.7291000            0.000000
                         S( 57)        2.023800            0.000000
                         S( 58)       0.4408000            0.000000
                         S( 59)        1.553100            0.000000
                         S( 60)        2.023200            0.000000
                         S( 61)        1.255400            0.000000
                         S( 62)       0.8433000            0.000000
                         S( 63)        1.596600            0.000000
                         S( 64)       0.2324000            0.000000
                         S( 65)       0.4618000            0.000000
                         S( 66)       0.3393000            0.000000
                         S( 67)       0.6041000            0.000000
                         S( 68)       0.5372000            0.000000
                         S( 69)       0.5078000            0.000000
                         S( 70)        6.380700            0.000000
                         S( 71)       0.4147000            0.000000
                         S( 72)        2.503600            0.000000
                         S( 73)       0.4650000            0.000000
                         S( 74)        3.673400            0.000000
                         S( 75)       0.2534000            0.000000
                         S( 76)       0.9789000            0.000000
                         S( 77)       0.2561000            0.000000
                         S( 78)        1.538400            0.000000
                         S( 79)       0.3077000            0.000000
                         S( 80)       0.6936000            0.000000
                         S( 81)        1.198000            0.000000
                         S( 82)       0.3077000            0.000000
                         S( 83)        1.385700            0.000000
                         S( 84)       0.2883000            0.000000
                         S( 85)       0.7488000            0.000000
                         S( 86)        2.155300            0.000000
                         S( 87)        1.542100            0.000000
                         S( 88)       0.4578000            0.000000
                         S( 89)       0.4077000            0.000000
                         S( 90)       0.2633000            0.000000
                         S( 91)       0.9798000            0.000000
                         S( 92)       0.6211000            0.000000
                         S( 93)       0.4629000            0.000000
                         S( 94)       0.6595000            0.000000
                         S( 95)        1.230800            0.000000
                         S( 96)       0.3751000            0.000000
                         S( 97)       0.3507000            0.000000
                         S( 98)        1.728700            0.000000
                         S( 99)        5.425000            0.000000
                        S( 100)       0.5194000            0.000000
                        S( 101)        2.255000            0.000000
                        S( 102)       0.6012000            0.000000
                        S( 103)       0.9942000            0.000000
                        S( 104)       0.8217000            0.000000
                        S( 105)        1.211900            0.000000
                        S( 106)        1.124500            0.000000
                        S( 107)        2.655800            0.000000
                        S( 108)        1.583300            0.000000
                        S( 109)       0.3543000            0.000000
                        S( 110)       0.3912000            0.000000
                        S( 111)       0.3077000            0.000000
                        S( 112)       0.9205000            0.000000
                        S( 113)       0.9545000            0.000000
                        S( 114)       0.9497000            0.000000
                          F( 1)        4625.320            0.000000
                          F( 2)        5358.402            0.000000
                          F( 3)        14814.97            0.000000
                          F( 4)        9628.578            0.000000
                          F( 5)        50040.60            0.000000
                          F( 6)        27658.66            0.000000
                          F( 7)        5322.617            0.000000
                          F( 8)        7261.619            0.000000
                          F( 9)        1925.822            0.000000
                         F( 10)        1706.917            0.000000
                         F( 11)        8497.801            0.000000
                         F( 12)        6966.753            0.000000
                         F( 13)        1526.340            0.000000
                         F( 14)        1526.340            0.000000
                         F( 15)        3459.746            0.000000
                         F( 16)        4632.769            0.000000
                         F( 17)        1867.415            0.000000
                         F( 18)        8601.715            0.000000
                         F( 19)        2923.179            0.000000
                         F( 20)        2590.439            0.000000
                         F( 21)        4355.154            0.000000
                         F( 22)        5889.177            0.000000
                         F( 23)        9050.738            0.000000
                         F( 24)        7641.054            0.000000
                         F( 25)        18927.43            0.000000
                         F( 26)        2511.743            0.000000
                         F( 27)        3070.057            0.000000
                         F( 28)        6038.886            0.000000
                         F( 29)        1873.592            0.000000
                         F( 30)        4009.854            0.000000
                         F( 31)        4300.485            0.000000
                         F( 32)        5041.328            0.000000
                         F( 33)        2112.515            0.000000
                         F( 34)        3895.579            0.000000
                         F( 35)        26558.30            0.000000
                         F( 36)        3230.963            0.000000
                         F( 37)        3379.360            0.000000
                         F( 38)        2785.561            0.000000
                         F( 39)        10579.89            0.000000
                         F( 40)        1033.438            0.000000
                         F( 41)        21825.60            0.000000
                         F( 42)        1729.613            0.000000
                         F( 43)        9412.387            0.000000
                         F( 44)        4996.884            0.000000
                         F( 45)        18490.73            0.000000
                         F( 46)        8287.467            0.000000
                         F( 47)        5453.714            0.000000
                         F( 48)        21575.99            0.000000
                         F( 49)        2766.208            0.000000
                         F( 50)        5405.467            0.000000
                         F( 51)        6018.298            0.000000
                         F( 52)        1986.552            0.000000
                         F( 53)        12517.03            0.000000
                         F( 54)        1450.708            0.000000
                         F( 55)        5539.874            0.000000
                         F( 56)        2692.549            0.000000
                         F( 57)        10813.77            0.000000
                         F( 58)        1963.154            0.000000
                         F( 59)        6926.869            0.000000
                         F( 60)        9013.569            0.000000
                         F( 61)        6725.200            0.000000
                         F( 62)        5287.225            0.000000
                         F( 63)        11064.28            0.000000
                         F( 64)        1635.362            0.000000
                         F( 65)        2034.238            0.000000
                         F( 66)        1495.100            0.000000
                         F( 67)        2807.064            0.000000
                         F( 68)        2449.646            0.000000
                         F( 69)        2455.758            0.000000
